Mon Mar 17 20:56:43 2025: ALERT: Anomaly! Packets: 20, Avg Size: 464.6, Unique IPs: 12, ICMP%: 0.00, Unique MACs: 12, Top IP: 10.11.74.55, Top MAC: d0:39:57:48:82:b5
Mon Mar 17 20:56:45 2025: ALERT: Anomaly! Packets: 341, Avg Size: 1227.0, Unique IPs: 5, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:56:48 2025: ALERT: Anomaly! Packets: 106, Avg Size: 1100.0, Unique IPs: 5, ICMP%: 0.00, Unique MACs: 3, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:56:50 2025: ALERT: Anomaly! Packets: 378, Avg Size: 1191.7, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:56:52 2025: ALERT: Anomaly! Packets: 166, Avg Size: 1132.0, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 6, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:56:54 2025: ALERT: Anomaly! Packets: 384, Avg Size: 1248.7, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 6, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:56:56 2025: ALERT: Anomaly! Packets: 259, Avg Size: 1183.1, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:02 2025: ALERT: Anomaly! Packets: 576, Avg Size: 1300.9, Unique IPs: 7, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:04 2025: ALERT: Anomaly! Packets: 500, Avg Size: 1289.0, Unique IPs: 3, ICMP%: 0.00, Unique MACs: 3, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:07 2025: ALERT: Anomaly! Packets: 9, Avg Size: 99.4, Unique IPs: 3, ICMP%: 0.00, Unique MACs: 3, Top IP: 10.11.74.55, Top MAC: d0:39:57:48:82:b5
Mon Mar 17 20:57:11 2025: ALERT: Anomaly! Packets: 620, Avg Size: 1282.1, Unique IPs: 4, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:13 2025: ALERT: Anomaly! Packets: 11, Avg Size: 107.4, Unique IPs: 2, ICMP%: 0.00, Unique MACs: 3, Top IP: 35.223.238.178, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:17 2025: ALERT: Anomaly! Packets: 592, Avg Size: 1308.8, Unique IPs: 6, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:23 2025: ALERT: Anomaly! Packets: 5, Avg Size: 100.4, Unique IPs: 3, ICMP%: 0.00, Unique MACs: 3, Top IP: 10.11.74.55, Top MAC: d0:39:57:48:82:b5
Mon Mar 17 20:57:28 2025: ALERT: Anomaly! Packets: 330, Avg Size: 1286.0, Unique IPs: 8, ICMP%: 0.00, Unique MACs: 7, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:33 2025: ALERT: Anomaly! Packets: 614, Avg Size: 1292.5, Unique IPs: 9, ICMP%: 0.00, Unique MACs: 6, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
Mon Mar 17 20:57:39 2025: ALERT: Anomaly! Packets: 548, Avg Size: 1202.1, Unique IPs: 8, ICMP%: 0.00, Unique MACs: 4, Top IP: 172.217.148.136, Top MAC: e8:4d:74:02:c5:cd
